book_author,book_href,book_publish_date,book_publisher,book_rating_counting,book_rating_nums,book_src,book_title
张爱玲,https://book.douban.com/subject/10757938/,2012-6-1,"北京出版社出版集团,北京十月文艺出版社",2012人评价,9.0,https://img1.doubanio.com/lpic/s10199588.jpg,半生缘
王尔德,https://book.douban.com/subject/4714156/,2010-2,外语教学与研究出版社,1130人评价,9.2,https://img1.doubanio.com/lpic/s4296928.jpg,夜莺与玫瑰
张爱玲,https://book.douban.com/subject/1024468/,2005-6,哈尔滨出版社,1420人评价,9.0,https://img1.doubanio.com/lpic/s1441609.jpg,金锁记
（法）勒·柯布西耶 / （瑞士）W·博奥席耶等,https://book.douban.com/subject/1394534/,2005-4,中国建筑工业出版社,1140人评价,9.2,https://img3.doubanio.com/lpic/s1399745.jpg,勒·柯布西耶全集
[英] 罗杰·克劳利,https://book.douban.com/subject/25891318/,2014-6-1,社会科学文献出版社·甲骨文,2164人评价,9.0,https://img3.doubanio.com/lpic/s28039740.jpg,1453
冯骥才,https://book.douban.com/subject/3206771/,2003年,时代文艺出版社,1268人评价,9.1,https://img3.doubanio.com/lpic/s3252152.jpg,一百个人的十年
[法] 雨果,https://book.douban.com/subject/1083433/,2003-1,人民文学出版社,2301人评价,9.2,https://img5.doubanio.com/lpic/s4604906.jpg,悲惨世界（全三册）
[美] Charles Petzold,https://book.douban.com/subject/4822685/,2010,电子工业出版社,1552人评价,9.2,https://img3.doubanio.com/lpic/s4379914.jpg,编码
吴楚材 / 吴调候,https://book.douban.com/subject/1449421/,1959-9,中华书局,1135人评价,9.2,https://img3.doubanio.com/lpic/s2951515.jpg,古文观止
[汉] 许慎 撰 / [宋] 徐铉杨 校定,https://book.douban.com/subject/1032967/,1963-12,中华书局,1394人评价,9.2,https://img3.doubanio.com/lpic/s1026024.jpg,说文解字
[美]乔治·R. R. 马丁,https://book.douban.com/subject/10608468/,2012-6,重庆出版社,3638人评价,9.6,https://img3.doubanio.com/lpic/s10215071.jpg,冰与火之歌·卷三·冰雨的风暴（全三册）
罗兰•米勒 (Rowland Miller) / 丹尼尔•珀尔曼 (Daniel Perlman),https://book.douban.com/subject/5952488/,2011-1,人民邮电出版社,2027人评价,9.1,https://img1.doubanio.com/lpic/s4643548.jpg,亲密关系（第5版）
五月天,https://book.douban.com/subject/1337171/,2001-9-17,時報文化出版企業股份有限公司,1958人评价,9.6,https://img3.doubanio.com/lpic/s4133615.jpg,五月天之素人自拍
基思•斯坦诺维奇,https://book.douban.com/subject/6952036/,2012-1-1,人民邮电出版社,2148人评价,9.2,https://img1.doubanio.com/lpic/s7649177.jpg,对伪心理学说不
黄蓓佳,https://book.douban.com/subject/1115397/,1996-12,江苏少年儿童出版社,1127人评价,9.0,https://img3.doubanio.com/lpic/s4107891.jpg,我要做好孩子
杨柳松,https://book.douban.com/subject/6125543/,2011-4,重庆出版社,1203人评价,9.2,https://img1.doubanio.com/lpic/s6778118.jpg,北方的空地
(美)安妮·阿普尔鲍姆,https://book.douban.com/subject/20503529/,2013-4-1,新星出版社,1274人评价,9.2,https://img3.doubanio.com/lpic/s26016760.jpg,古拉格
[俄] 陀思妥耶夫斯基,https://book.douban.com/subject/10759466/,2012-5-1,漓江出版社,1378人评价,9.0,https://img1.doubanio.com/lpic/s24401349.jpg,地下室手记
郑渊洁,https://book.douban.com/subject/2002914/,1989,四川少年儿童出版社,1658人评价,9.2,https://img5.doubanio.com/lpic/s2745356.jpg,皮皮鲁和鲁西西全传
(葡)若泽·萨拉马戈,https://book.douban.com/subject/20428302/,2014-2,南海出版公司,2714人评价,9.0,https://img1.doubanio.com/lpic/s27217828.jpg,失明症漫记
[日] 贵志祐介,https://book.douban.com/subject/25752955/,2014-4,上海译文出版社,2995人评价,9.0,https://img1.doubanio.com/lpic/s27251177.jpg,来自新世界 （上下）
[美] 艾萨克·阿西莫夫,https://book.douban.com/subject/25829693/,2014-9-1,江苏文艺出版社,10068人评价,9.0,https://img3.doubanio.com/lpic/s27409671.jpg,永恒的终结
罗杰·凯密恩（Roger Kamien）,https://book.douban.com/subject/3095037/,2008-6,世界图书出版公司,1173人评价,9.1,https://img5.doubanio.com/lpic/s3118506.jpg,听音乐（插图第6版）
[奥] 斯蒂芬·茨威格,https://book.douban.com/subject/3757732/,2009-6,生活·读书·新知三联书店,4722人评价,9.0,https://img3.doubanio.com/lpic/s24946251.jpg,人类的群星闪耀时（增订版）
李泽厚,https://book.douban.com/subject/3410718/,2009-07,生活·读书·新知三联书店,5464人评价,9.2,https://img3.doubanio.com/lpic/s3893343.jpg,美的历程
[美] 悉达多·穆克吉,https://book.douban.com/subject/20507206/,2013-2-4,中信出版社,3117人评价,9.1,https://img1.doubanio.com/lpic/s24598159.jpg,众病之王
